NOM_PAYS                                 AVG_BON                AVG(TAUX_SUICIDE)      
---------------------------------------- ---------------------- ---------------------- 
Georgia                                  4,2745                 7,05666666666666666666666666666666666667 
Armenia                                  4,355                  3,90181818181818181818181818181818181818 
Ukraine                                  4,5025                 20,39333333333333333333333333333333333333 
South Africa                             4,5505                 1,08333333333333333333333333333333333333 
Mongolia                                 4,8905                 18,439                 
Greece                                   4,945                  4,67166666666666666666666666666666666667 
Hungary                                  4,9725                 22,66409090909090909090909090909090909091 
Serbia                                   5,15                   17,16416666666666666666666666666666666667 
Kyrgyzstan                               5,2355                 8,1975                 

 9 lignes sélectionnées 

